review,sentiment,source
service is not too comfortable,negative,negation_aug
staff service is not too comfortable,negative,negation_aug
room service is not too comfortable,negative,negation_aug
hotel service is not too comfortable,negative,negation_aug
customer service is not too comfortable,negative,negation_aug
the service is not too comfortable,negative,negation_aug
staff is not too comfortable,negative,negation_aug
the staff is not too comfortable,negative,negation_aug
room is not too comfortable,negative,negation_aug
the room is not too comfortable,negative,negation_aug
wifi is not too comfortable,negative,negation_aug
the wifi is not too comfortable,negative,negation_aug
service is not too excellent,negative,negation_aug
staff service is not too excellent,negative,negation_aug
room service is not too excellent,negative,negation_aug
hotel service is not too excellent,negative,negation_aug
customer service is not too excellent,negative,negation_aug
the service is not too excellent,negative,negation_aug
staff is not too excellent,negative,negation_aug
the staff is not too excellent,negative,negation_aug
room is not too excellent,negative,negation_aug
the room is not too excellent,negative,negation_aug
wifi is not too excellent,negative,negation_aug
the wifi is not too excellent,negative,negation_aug
service is not too amazing,negative,negation_aug
staff service is not too amazing,negative,negation_aug
room service is not too amazing,negative,negation_aug
hotel service is not too amazing,negative,negation_aug
customer service is not too amazing,negative,negation_aug
the service is not too amazing,negative,negation_aug
staff is not too amazing,negative,negation_aug
the staff is not too amazing,negative,negation_aug
room is not too amazing,negative,negation_aug
the room is not too amazing,negative,negation_aug
wifi is not too amazing,negative,negation_aug
the wifi is not too amazing,negative,negation_aug
service is not too perfect,negative,negation_aug
staff service is not too perfect,negative,negation_aug
room service is not too perfect,negative,negation_aug
hotel service is not too perfect,negative,negation_aug
customer service is not too perfect,negative,negation_aug
the service is not too perfect,negative,negation_aug
staff is not too perfect,negative,negation_aug
the staff is not too perfect,negative,negation_aug
room is not too perfect,negative,negation_aug
the room is not too perfect,negative,negation_aug
wifi is not too perfect,negative,negation_aug
the wifi is not too perfect,negative,negation_aug
service is not too worth it,negative,negation_aug
staff service is not too worth it,negative,negation_aug
room service is not too worth it,negative,negation_aug
hotel service is not too worth it,negative,negation_aug
customer service is not too worth it,negative,negation_aug
the service is not too worth it,negative,negation_aug
staff is not too worth it,negative,negation_aug
the staff is not too worth it,negative,negation_aug
room is not too worth it,negative,negation_aug
the room is not too worth it,negative,negation_aug
wifi is not too worth it,negative,negation_aug
the wifi is not too worth it,negative,negation_aug
service is not too satisfactory,negative,negation_aug
staff service is not too satisfactory,negative,negation_aug
room service is not too satisfactory,negative,negation_aug
hotel service is not too satisfactory,negative,negation_aug
customer service is not too satisfactory,negative,negation_aug
the service is not too satisfactory,negative,negation_aug
staff is not too satisfactory,negative,negation_aug
the staff is not too satisfactory,negative,negation_aug
room is not too satisfactory,negative,negation_aug
the room is not too satisfactory,negative,negation_aug
wifi is not too satisfactory,negative,negation_aug
the wifi is not too satisfactory,negative,negation_aug
service is not too pleasant,negative,negation_aug
staff service is not too pleasant,negative,negation_aug
room service is not too pleasant,negative,negation_aug
hotel service is not too pleasant,negative,negation_aug
customer service is not too pleasant,negative,negation_aug
the service is not too pleasant,negative,negation_aug
staff is not too pleasant,negative,negation_aug
the staff is not too pleasant,negative,negation_aug
room is not too pleasant,negative,negation_aug
the room is not too pleasant,negative,negation_aug
wifi is not too pleasant,negative,negation_aug
the wifi is not too pleasant,negative,negation_aug
service is not too fine,negative,negation_aug
staff service is not too fine,negative,negation_aug
room service is not too fine,negative,negation_aug
hotel service is not too fine,negative,negation_aug
customer service is not too fine,negative,negation_aug
the service is not too fine,negative,negation_aug
staff is not too fine,negative,negation_aug
the staff is not too fine,negative,negation_aug
room is not too fine,negative,negation_aug
the room is not too fine,negative,negation_aug
wifi is not too fine,negative,negation_aug
the wifi is not too fine,negative,negation_aug
service is not too okay,negative,negation_aug
staff service is not too okay,negative,negation_aug
room service is not too okay,negative,negation_aug
hotel service is not too okay,negative,negation_aug
customer service is not too okay,negative,negation_aug
the service is not too okay,negative,negation_aug
staff is not too okay,negative,negation_aug
the staff is not too okay,negative,negation_aug
room is not too okay,negative,negation_aug
the room is not too okay,negative,negation_aug
wifi is not too okay,negative,negation_aug
the wifi is not too okay,negative,negation_aug
service is not so good,negative,negation_aug
staff service is not so good,negative,negation_aug
room service is not so good,negative,negation_aug
hotel service is not so good,negative,negation_aug
customer service is not so good,negative,negation_aug
the service is not so good,negative,negation_aug
staff is not so good,negative,negation_aug
the staff is not so good,negative,negation_aug
room is not so good,negative,negation_aug
the room is not so good,negative,negation_aug
wifi is not so good,negative,negation_aug
the wifi is not so good,negative,negation_aug
service is not so great,negative,negation_aug
staff service is not so great,negative,negation_aug
room service is not so great,negative,negation_aug
hotel service is not so great,negative,negation_aug
customer service is not so great,negative,negation_aug
the service is not so great,negative,negation_aug
staff is not so great,negative,negation_aug
the staff is not so great,negative,negation_aug
room is not so great,negative,negation_aug
the room is not so great,negative,negation_aug
wifi is not so great,negative,negation_aug
the wifi is not so great,negative,negation_aug
service is not so nice,negative,negation_aug
staff service is not so nice,negative,negation_aug
room service is not so nice,negative,negation_aug
hotel service is not so nice,negative,negation_aug
customer service is not so nice,negative,negation_aug
the service is not so nice,negative,negation_aug
staff is not so nice,negative,negation_aug
the staff is not so nice,negative,negation_aug
room is not so nice,negative,negation_aug
the room is not so nice,negative,negation_aug
wifi is not so nice,negative,negation_aug
the wifi is not so nice,negative,negation_aug
service is not so clean,negative,negation_aug
staff service is not so clean,negative,negation_aug
room service is not so clean,negative,negation_aug
hotel service is not so clean,negative,negation_aug
customer service is not so clean,negative,negation_aug
the service is not so clean,negative,negation_aug
staff is not so clean,negative,negation_aug
the staff is not so clean,negative,negation_aug
room is not so clean,negative,negation_aug
the room is not so clean,negative,negation_aug
wifi is not so clean,negative,negation_aug
the wifi is not so clean,negative,negation_aug
service is not so helpful,negative,negation_aug
staff service is not so helpful,negative,negation_aug
room service is not so helpful,negative,negation_aug
hotel service is not so helpful,negative,negation_aug
customer service is not so helpful,negative,negation_aug
the service is not so helpful,negative,negation_aug
staff is not so helpful,negative,negation_aug
the staff is not so helpful,negative,negation_aug
room is not so helpful,negative,negation_aug
the room is not so helpful,negative,negation_aug
wifi is not so helpful,negative,negation_aug
the wifi is not so helpful,negative,negation_aug
service is not so friendly,negative,negation_aug
staff service is not so friendly,negative,negation_aug
room service is not so friendly,negative,negation_aug
hotel service is not so friendly,negative,negation_aug
customer service is not so friendly,negative,negation_aug
the service is not so friendly,negative,negation_aug
staff is not so friendly,negative,negation_aug
the staff is not so friendly,negative,negation_aug
room is not so friendly,negative,negation_aug
the room is not so friendly,negative,negation_aug
wifi is not so friendly,negative,negation_aug
the wifi is not so friendly,negative,negation_aug
service is not so comfortable,negative,negation_aug
staff service is not so comfortable,negative,negation_aug
room service is not so comfortable,negative,negation_aug
hotel service is not so comfortable,negative,negation_aug
customer service is not so comfortable,negative,negation_aug
the service is not so comfortable,negative,negation_aug
staff is not so comfortable,negative,negation_aug
the staff is not so comfortable,negative,negation_aug
room is not so comfortable,negative,negation_aug
the room is not so comfortable,negative,negation_aug
wifi is not so comfortable,negative,negation_aug
the wifi is not so comfortable,negative,negation_aug
service is not so excellent,negative,negation_aug
staff service is not so excellent,negative,negation_aug
room service is not so excellent,negative,negation_aug
hotel service is not so excellent,negative,negation_aug
customer service is not so excellent,negative,negation_aug
the service is not so excellent,negative,negation_aug
staff is not so excellent,negative,negation_aug
the staff is not so excellent,negative,negation_aug
room is not so excellent,negative,negation_aug
the room is not so excellent,negative,negation_aug
wifi is not so excellent,negative,negation_aug
the wifi is not so excellent,negative,negation_aug
service is not so amazing,negative,negation_aug
staff service is not so amazing,negative,negation_aug
room service is not so amazing,negative,negation_aug
hotel service is not so amazing,negative,negation_aug
customer service is not so amazing,negative,negation_aug
the service is not so amazing,negative,negation_aug
staff is not so amazing,negative,negation_aug
the staff is not so amazing,negative,negation_aug
room is not so amazing,negative,negation_aug
the room is not so amazing,negative,negation_aug
wifi is not so amazing,negative,negation_aug
the wifi is not so amazing,negative,negation_aug
service is not so perfect,negative,negation_aug
staff service is not so perfect,negative,negation_aug
room service is not so perfect,negative,negation_aug
hotel service is not so perfect,negative,negation_aug
customer service is not so perfect,negative,negation_aug
the service is not so perfect,negative,negation_aug
staff is not so perfect,negative,negation_aug
the staff is not so perfect,negative,negation_aug
room is not so perfect,negative,negation_aug
the room is not so perfect,negative,negation_aug
wifi is not so perfect,negative,negation_aug
the wifi is not so perfect,negative,negation_aug
service is not so worth it,negative,negation_aug
staff service is not so worth it,negative,negation_aug
room service is not so worth it,negative,negation_aug
hotel service is not so worth it,negative,negation_aug
customer service is not so worth it,negative,negation_aug
the service is not so worth it,negative,negation_aug
staff is not so worth it,negative,negation_aug
the staff is not so worth it,negative,negation_aug
room is not so worth it,negative,negation_aug
the room is not so worth it,negative,negation_aug
wifi is not so worth it,negative,negation_aug
the wifi is not so worth it,negative,negation_aug
service is not so satisfactory,negative,negation_aug
staff service is not so satisfactory,negative,negation_aug
room service is not so satisfactory,negative,negation_aug
hotel service is not so satisfactory,negative,negation_aug
customer service is not so satisfactory,negative,negation_aug
the service is not so satisfactory,negative,negation_aug
staff is not so satisfactory,negative,negation_aug
the staff is not so satisfactory,negative,negation_aug
room is not so satisfactory,negative,negation_aug
the room is not so satisfactory,negative,negation_aug
wifi is not so satisfactory,negative,negation_aug
the wifi is not so satisfactory,negative,negation_aug
service is not so pleasant,negative,negation_aug
staff service is not so pleasant,negative,negation_aug
room service is not so pleasant,negative,negation_aug
hotel service is not so pleasant,negative,negation_aug
customer service is not so pleasant,negative,negation_aug
the service is not so pleasant,negative,negation_aug
staff is not so pleasant,negative,negation_aug
the staff is not so pleasant,negative,negation_aug
room is not so pleasant,negative,negation_aug
the room is not so pleasant,negative,negation_aug
wifi is not so pleasant,negative,negation_aug
the wifi is not so pleasant,negative,negation_aug
service is not so fine,negative,negation_aug
staff service is not so fine,negative,negation_aug
room service is not so fine,negative,negation_aug
hotel service is not so fine,negative,negation_aug
customer service is not so fine,negative,negation_aug
the service is not so fine,negative,negation_aug
staff is not so fine,negative,negation_aug
the staff is not so fine,negative,negation_aug
room is not so fine,negative,negation_aug
the room is not so fine,negative,negation_aug
wifi is not so fine,negative,negation_aug
the wifi is not so fine,negative,negation_aug
service is not so okay,negative,negation_aug
staff service is not so okay,negative,negation_aug
room service is not so okay,negative,negation_aug
hotel service is not so okay,negative,negation_aug
customer service is not so okay,negative,negation_aug
the service is not so okay,negative,negation_aug
staff is not so okay,negative,negation_aug
the staff is not so okay,negative,negation_aug
room is not so okay,negative,negation_aug
the room is not so okay,negative,negation_aug
wifi is not so okay,negative,negation_aug
the wifi is not so okay,negative,negation_aug
service is not very good,negative,negation_aug
staff service is not very good,negative,negation_aug
room service is not very good,negative,negation_aug
hotel service is not very good,negative,negation_aug
customer service is not very good,negative,negation_aug
the service is not very good,negative,negation_aug
staff is not very good,negative,negation_aug
the staff is not very good,negative,negation_aug
room is not very good,negative,negation_aug
the room is not very good,negative,negation_aug
wifi is not very good,negative,negation_aug
the wifi is not very good,negative,negation_aug
service is not very great,negative,negation_aug
staff service is not very great,negative,negation_aug
room service is not very great,negative,negation_aug
hotel service is not very great,negative,negation_aug
customer service is not very great,negative,negation_aug
the service is not very great,negative,negation_aug
staff is not very great,negative,negation_aug
the staff is not very great,negative,negation_aug
room is not very great,negative,negation_aug
the room is not very great,negative,negation_aug
wifi is not very great,negative,negation_aug
the wifi is not very great,negative,negation_aug
service is not very nice,negative,negation_aug
staff service is not very nice,negative,negation_aug
room service is not very nice,negative,negation_aug
hotel service is not very nice,negative,negation_aug
customer service is not very nice,negative,negation_aug
the service is not very nice,negative,negation_aug
staff is not very nice,negative,negation_aug
the staff is not very nice,negative,negation_aug
room is not very nice,negative,negation_aug
the room is not very nice,negative,negation_aug
wifi is not very nice,negative,negation_aug
the wifi is not very nice,negative,negation_aug
service is not very clean,negative,negation_aug
staff service is not very clean,negative,negation_aug
room service is not very clean,negative,negation_aug
hotel service is not very clean,negative,negation_aug
customer service is not very clean,negative,negation_aug
the service is not very clean,negative,negation_aug
staff is not very clean,negative,negation_aug
the staff is not very clean,negative,negation_aug
room is not very clean,negative,negation_aug
the room is not very clean,negative,negation_aug
wifi is not very clean,negative,negation_aug
the wifi is not very clean,negative,negation_aug
service is not very helpful,negative,negation_aug
staff service is not very helpful,negative,negation_aug
room service is not very helpful,negative,negation_aug
hotel service is not very helpful,negative,negation_aug
customer service is not very helpful,negative,negation_aug
the service is not very helpful,negative,negation_aug
staff is not very helpful,negative,negation_aug
the staff is not very helpful,negative,negation_aug
room is not very helpful,negative,negation_aug
the room is not very helpful,negative,negation_aug
wifi is not very helpful,negative,negation_aug
the wifi is not very helpful,negative,negation_aug
service is not very friendly,negative,negation_aug
staff service is not very friendly,negative,negation_aug
room service is not very friendly,negative,negation_aug
hotel service is not very friendly,negative,negation_aug
customer service is not very friendly,negative,negation_aug
the service is not very friendly,negative,negation_aug
staff is not very friendly,negative,negation_aug
the staff is not very friendly,negative,negation_aug
room is not very friendly,negative,negation_aug
the room is not very friendly,negative,negation_aug
wifi is not very friendly,negative,negation_aug
the wifi is not very friendly,negative,negation_aug
service is not very comfortable,negative,negation_aug
staff service is not very comfortable,negative,negation_aug
room service is not very comfortable,negative,negation_aug
hotel service is not very comfortable,negative,negation_aug
customer service is not very comfortable,negative,negation_aug
the service is not very comfortable,negative,negation_aug
staff is not very comfortable,negative,negation_aug
the staff is not very comfortable,negative,negation_aug
room is not very comfortable,negative,negation_aug
the room is not very comfortable,negative,negation_aug
wifi is not very comfortable,negative,negation_aug
the wifi is not very comfortable,negative,negation_aug
service is not very excellent,negative,negation_aug
staff service is not very excellent,negative,negation_aug
room service is not very excellent,negative,negation_aug
hotel service is not very excellent,negative,negation_aug
customer service is not very excellent,negative,negation_aug
the service is not very excellent,negative,negation_aug
staff is not very excellent,negative,negation_aug
the staff is not very excellent,negative,negation_aug
room is not very excellent,negative,negation_aug
the room is not very excellent,negative,negation_aug
wifi is not very excellent,negative,negation_aug
the wifi is not very excellent,negative,negation_aug
service is not very amazing,negative,negation_aug
staff service is not very amazing,negative,negation_aug
room service is not very amazing,negative,negation_aug
hotel service is not very amazing,negative,negation_aug
customer service is not very amazing,negative,negation_aug
the service is not very amazing,negative,negation_aug
staff is not very amazing,negative,negation_aug
the staff is not very amazing,negative,negation_aug
room is not very amazing,negative,negation_aug
the room is not very amazing,negative,negation_aug
wifi is not very amazing,negative,negation_aug
the wifi is not very amazing,negative,negation_aug
service is not very perfect,negative,negation_aug
staff service is not very perfect,negative,negation_aug
room service is not very perfect,negative,negation_aug
hotel service is not very perfect,negative,negation_aug
customer service is not very perfect,negative,negation_aug
the service is not very perfect,negative,negation_aug
staff is not very perfect,negative,negation_aug
the staff is not very perfect,negative,negation_aug
room is not very perfect,negative,negation_aug
the room is not very perfect,negative,negation_aug
wifi is not very perfect,negative,negation_aug
the wifi is not very perfect,negative,negation_aug
service is not very worth it,negative,negation_aug
staff service is not very worth it,negative,negation_aug
room service is not very worth it,negative,negation_aug
hotel service is not very worth it,negative,negation_aug
customer service is not very worth it,negative,negation_aug
the service is not very worth it,negative,negation_aug
staff is not very worth it,negative,negation_aug
the staff is not very worth it,negative,negation_aug
room is not very worth it,negative,negation_aug
the room is not very worth it,negative,negation_aug
wifi is not very worth it,negative,negation_aug
the wifi is not very worth it,negative,negation_aug
service is not very satisfactory,negative,negation_aug
staff service is not very satisfactory,negative,negation_aug
room service is not very satisfactory,negative,negation_aug
hotel service is not very satisfactory,negative,negation_aug
customer service is not very satisfactory,negative,negation_aug
the service is not very satisfactory,negative,negation_aug
staff is not very satisfactory,negative,negation_aug
the staff is not very satisfactory,negative,negation_aug
room is not very satisfactory,negative,negation_aug
the room is not very satisfactory,negative,negation_aug
wifi is not very satisfactory,negative,negation_aug
the wifi is not very satisfactory,negative,negation_aug
service is not very pleasant,negative,negation_aug
staff service is not very pleasant,negative,negation_aug
room service is not very pleasant,negative,negation_aug
hotel service is not very pleasant,negative,negation_aug
customer service is not very pleasant,negative,negation_aug
the service is not very pleasant,negative,negation_aug
staff is not very pleasant,negative,negation_aug
the staff is not very pleasant,negative,negation_aug
room is not very pleasant,negative,negation_aug
the room is not very pleasant,negative,negation_aug
wifi is not very pleasant,negative,negation_aug
the wifi is not very pleasant,negative,negation_aug
service is not very fine,negative,negation_aug
staff service is not very fine,negative,negation_aug
room service is not very fine,negative,negation_aug
hotel service is not very fine,negative,negation_aug
customer service is not very fine,negative,negation_aug
the service is not very fine,negative,negation_aug
staff is not very fine,negative,negation_aug
the staff is not very fine,negative,negation_aug
room is not very fine,negative,negation_aug
the room is not very fine,negative,negation_aug
wifi is not very fine,negative,negation_aug
the wifi is not very fine,negative,negation_aug
service is not very okay,negative,negation_aug
staff service is not very okay,negative,negation_aug
room service is not very okay,negative,negation_aug
hotel service is not very okay,negative,negation_aug
customer service is not very okay,negative,negation_aug
the service is not very okay,negative,negation_aug
staff is not very okay,negative,negation_aug
the staff is not very okay,negative,negation_aug
room is not very okay,negative,negation_aug
the room is not very okay,negative,negation_aug
wifi is not very okay,negative,negation_aug
the wifi is not very okay,negative,negation_aug
service is not that good,negative,negation_aug
staff service is not that good,negative,negation_aug
room service is not that good,negative,negation_aug
hotel service is not that good,negative,negation_aug
customer service is not that good,negative,negation_aug
the service is not that good,negative,negation_aug
staff is not that good,negative,negation_aug
the staff is not that good,negative,negation_aug
room is not that good,negative,negation_aug
the room is not that good,negative,negation_aug
wifi is not that good,negative,negation_aug
the wifi is not that good,negative,negation_aug
service is not that great,negative,negation_aug
staff service is not that great,negative,negation_aug
room service is not that great,negative,negation_aug
hotel service is not that great,negative,negation_aug
customer service is not that great,negative,negation_aug
the service is not that great,negative,negation_aug
staff is not that great,negative,negation_aug
the staff is not that great,negative,negation_aug
room is not that great,negative,negation_aug
the room is not that great,negative,negation_aug
wifi is not that great,negative,negation_aug
the wifi is not that great,negative,negation_aug
service is not that nice,negative,negation_aug
staff service is not that nice,negative,negation_aug
room service is not that nice,negative,negation_aug
hotel service is not that nice,negative,negation_aug
customer service is not that nice,negative,negation_aug
the service is not that nice,negative,negation_aug
staff is not that nice,negative,negation_aug
the staff is not that nice,negative,negation_aug
room is not that nice,negative,negation_aug
the room is not that nice,negative,negation_aug
wifi is not that nice,negative,negation_aug
the wifi is not that nice,negative,negation_aug
service is not that clean,negative,negation_aug
staff service is not that clean,negative,negation_aug
room service is not that clean,negative,negation_aug
hotel service is not that clean,negative,negation_aug
customer service is not that clean,negative,negation_aug
the service is not that clean,negative,negation_aug
staff is not that clean,negative,negation_aug
the staff is not that clean,negative,negation_aug
room is not that clean,negative,negation_aug
the room is not that clean,negative,negation_aug
wifi is not that clean,negative,negation_aug
the wifi is not that clean,negative,negation_aug
service is not that helpful,negative,negation_aug
staff service is not that helpful,negative,negation_aug
room service is not that helpful,negative,negation_aug
hotel service is not that helpful,negative,negation_aug
customer service is not that helpful,negative,negation_aug
the service is not that helpful,negative,negation_aug
staff is not that helpful,negative,negation_aug
the staff is not that helpful,negative,negation_aug
room is not that helpful,negative,negation_aug
the room is not that helpful,negative,negation_aug
wifi is not that helpful,negative,negation_aug
the wifi is not that helpful,negative,negation_aug
service is not that friendly,negative,negation_aug
staff service is not that friendly,negative,negation_aug
room service is not that friendly,negative,negation_aug
hotel service is not that friendly,negative,negation_aug
customer service is not that friendly,negative,negation_aug
the service is not that friendly,negative,negation_aug
staff is not that friendly,negative,negation_aug
the staff is not that friendly,negative,negation_aug
room is not that friendly,negative,negation_aug
the room is not that friendly,negative,negation_aug
wifi is not that friendly,negative,negation_aug
the wifi is not that friendly,negative,negation_aug
service is not that comfortable,negative,negation_aug
staff service is not that comfortable,negative,negation_aug
room service is not that comfortable,negative,negation_aug
hotel service is not that comfortable,negative,negation_aug
customer service is not that comfortable,negative,negation_aug
the service is not that comfortable,negative,negation_aug
staff is not that comfortable,negative,negation_aug
the staff is not that comfortable,negative,negation_aug
room is not that comfortable,negative,negation_aug
the room is not that comfortable,negative,negation_aug
wifi is not that comfortable,negative,negation_aug
the wifi is not that comfortable,negative,negation_aug
service is not that excellent,negative,negation_aug
staff service is not that excellent,negative,negation_aug
room service is not that excellent,negative,negation_aug
hotel service is not that excellent,negative,negation_aug
customer service is not that excellent,negative,negation_aug
the service is not that excellent,negative,negation_aug
staff is not that excellent,negative,negation_aug
the staff is not that excellent,negative,negation_aug
room is not that excellent,negative,negation_aug
the room is not that excellent,negative,negation_aug
wifi is not that excellent,negative,negation_aug
the wifi is not that excellent,negative,negation_aug
service is not that amazing,negative,negation_aug
staff service is not that amazing,negative,negation_aug
room service is not that amazing,negative,negation_aug
hotel service is not that amazing,negative,negation_aug
customer service is not that amazing,negative,negation_aug
the service is not that amazing,negative,negation_aug
staff is not that amazing,negative,negation_aug
the staff is not that amazing,negative,negation_aug
room is not that amazing,negative,negation_aug
the room is not that amazing,negative,negation_aug
wifi is not that amazing,negative,negation_aug
the wifi is not that amazing,negative,negation_aug
service is not that perfect,negative,negation_aug
staff service is not that perfect,negative,negation_aug
room service is not that perfect,negative,negation_aug
hotel service is not that perfect,negative,negation_aug
customer service is not that perfect,negative,negation_aug
the service is not that perfect,negative,negation_aug
staff is not that perfect,negative,negation_aug
the staff is not that perfect,negative,negation_aug
room is not that perfect,negative,negation_aug
the room is not that perfect,negative,negation_aug
wifi is not that perfect,negative,negation_aug
the wifi is not that perfect,negative,negation_aug
service is not that worth it,negative,negation_aug
staff service is not that worth it,negative,negation_aug
room service is not that worth it,negative,negation_aug
hotel service is not that worth it,negative,negation_aug
customer service is not that worth it,negative,negation_aug
the service is not that worth it,negative,negation_aug
staff is not that worth it,negative,negation_aug
the staff is not that worth it,negative,negation_aug
room is not that worth it,negative,negation_aug
the room is not that worth it,negative,negation_aug
wifi is not that worth it,negative,negation_aug
the wifi is not that worth it,negative,negation_aug
service is not that satisfactory,negative,negation_aug
staff service is not that satisfactory,negative,negation_aug
room service is not that satisfactory,negative,negation_aug
hotel service is not that satisfactory,negative,negation_aug
customer service is not that satisfactory,negative,negation_aug
the service is not that satisfactory,negative,negation_aug
staff is not that satisfactory,negative,negation_aug
the staff is not that satisfactory,negative,negation_aug
room is not that satisfactory,negative,negation_aug
the room is not that satisfactory,negative,negation_aug
wifi is not that satisfactory,negative,negation_aug
the wifi is not that satisfactory,negative,negation_aug
service is not that pleasant,negative,negation_aug
staff service is not that pleasant,negative,negation_aug
room service is not that pleasant,negative,negation_aug
hotel service is not that pleasant,negative,negation_aug
customer service is not that pleasant,negative,negation_aug
the service is not that pleasant,negative,negation_aug
staff is not that pleasant,negative,negation_aug
the staff is not that pleasant,negative,negation_aug
room is not that pleasant,negative,negation_aug
the room is not that pleasant,negative,negation_aug
wifi is not that pleasant,negative,negation_aug
the wifi is not that pleasant,negative,negation_aug
service is not that fine,negative,negation_aug
staff service is not that fine,negative,negation_aug
